Date,Symbol,Close,Prediction
15-01-2021,RELIANCE,1937.45,2253.476636
18-01-2021,RELIANCE,1983.95,2317.441371
19-01-2021,RELIANCE,2016.4,2291.146108
20-01-2021,RELIANCE,2054.7,2275.803124
21-01-2021,RELIANCE,2099.4,2389.940521
22-01-2021,RELIANCE,2049.6,2194.684778
25-01-2021,RELIANCE,1941,1987.261318
27-01-2021,RELIANCE,1895,1990.373058
28-01-2021,RELIANCE,1876.55,2310.345788
29-01-2021,RELIANCE,1841.95,3278.56609
01-02-2021,RELIANCE,1895.3,2090.682045
02-02-2021,RELIANCE,1925.8,2164.708803
03-02-2021,RELIANCE,1930.65,2066.735867
04-02-2021,RELIANCE,1924.3,2146.341343
05-02-2021,RELIANCE,1923.75,2128.007735
08-02-2021,RELIANCE,1951.45,2051.846782
09-02-2021,RELIANCE,1956.15,2046.519866
10-02-2021,RELIANCE,1974.3,1961.942483
11-02-2021,RELIANCE,2055.7,2040.886041
12-02-2021,RELIANCE,2041.6,2021.198013
15-02-2021,RELIANCE,2032.6,1945.873903
16-02-2021,RELIANCE,2059.5,2334.423605
17-02-2021,RELIANCE,2083.25,1987.921941
18-02-2021,RELIANCE,2067.7,1958.466561
19-02-2021,RELIANCE,2080.3,1914.770124
22-02-2021,RELIANCE,2008.1,1961.096186
23-02-2021,RELIANCE,2023.45,1962.50244
24-02-2021,RELIANCE,2061,2063.871869
25-02-2021,RELIANCE,2144.35,1920.226073
26-02-2021,RELIANCE,2085.8,2069.211357
01-03-2021,RELIANCE,2101.7,2057.027792
02-03-2021,RELIANCE,2106,2050.745748
03-03-2021,RELIANCE,2202.1,1970.615035
04-03-2021,RELIANCE,2175.85,1985.798365
05-03-2021,RELIANCE,2178.7,2034.586658
08-03-2021,RELIANCE,2191.1,2451.755921
09-03-2021,RELIANCE,2191.05,2019.867613
10-03-2021,RELIANCE,2181.95,2365.840413
12-03-2021,RELIANCE,2137.6,2079.787847
15-03-2021,RELIANCE,2108.9,2126.025206
16-03-2021,RELIANCE,2100.6,1706.330193
17-03-2021,RELIANCE,2055.35,2136.639122
18-03-2021,RELIANCE,2009.1,1963.893932
19-03-2021,RELIANCE,2082,1929.6686
