,Prediction
2021-03-27 05:30:00,396.27442307582737
2021-03-28 05:30:00,392.89018816052624
2021-03-29 05:30:00,392.0468265841956
2021-03-30 05:30:00,391.92659308789314
2021-03-31 05:30:00,393.8266411472927
2021-04-01 05:30:00,396.0080740750107
2021-04-02 05:30:00,396.4035818022269
2021-04-03 05:30:00,400.01593926477653
2021-04-04 05:30:00,396.27095106645584
2021-04-05 05:30:00,396.8464183153523
2021-04-06 05:30:00,395.93324142019486
2021-04-07 05:30:00,395.93831032998855
2021-04-08 05:30:00,394.6260340721181
2021-04-09 05:30:00,394.1157900890501
2021-04-10 05:30:00,395.96226363250247
2021-04-11 05:30:00,393.46111831946973
2021-04-12 05:30:00,396.069638458224
2021-04-13 05:30:00,400.69960518870886
2021-04-14 05:30:00,403.64879819912323
2021-04-15 05:30:00,401.6106099687767
2021-04-16 05:30:00,401.38191860497255
2021-04-17 05:30:00,410.66929450475646
2021-04-18 05:30:00,405.6967664562201
2021-04-19 05:30:00,392.0558486853079
2021-04-20 05:30:00,393.6908681273041
2021-04-21 05:30:00,393.59204975469726
2021-04-22 05:30:00,388.0377695727993
2021-04-23 05:30:00,390.2592511163075
2021-04-24 05:30:00,390.7130135862665
2021-04-25 05:30:00,385.6221785848175
2021-04-26 05:30:00,392.96523831219713
2021-04-27 05:30:00,393.01333572755317
2021-04-28 05:30:00,386.31750529250746
2021-04-29 05:30:00,387.5226194639439
2021-04-30 05:30:00,385.9253793626412
2021-05-01 05:30:00,397.59255394471876
2021-05-02 05:30:00,392.7369933183752
2021-05-03 05:30:00,380.3564805795967
2021-05-04 05:30:00,376.75233239638123
2021-05-05 05:30:00,368.9833748277601
2021-05-06 05:30:00,367.0315817404246
2021-05-07 05:30:00,365.2973496545095
2021-05-08 05:30:00,355.93715556433443
2021-05-09 05:30:00,354.9144751390095
2021-05-10 05:30:00,349.9056595031631
2021-05-11 05:30:00,345.233268159084
2021-05-12 05:30:00,340.46992307940786
2021-05-13 05:30:00,342.9220988349396
2021-05-14 05:30:00,343.9040620572565
2021-05-15 05:30:00,346.1751349016722
2021-05-16 05:30:00,339.1308098814577
2021-05-17 05:30:00,344.5939165537038
2021-05-18 05:30:00,345.7426797232267
2021-05-19 05:30:00,357.8628067009385
2021-05-20 05:30:00,347.6559070042644
2021-05-21 05:30:00,344.6757502224431
2021-05-22 05:30:00,340.5589168152621
2021-05-23 05:30:00,339.03653971771774
2021-05-24 05:30:00,335.868003792282
2021-05-25 05:30:00,332.14475618050506
2021-05-26 05:30:00,333.78387717901944
2021-05-27 05:30:00,328.49181711000375
2021-05-28 05:30:00,333.7107225651493
2021-05-29 05:30:00,327.154712880614
2021-05-30 05:30:00,328.52585650055335
2021-05-31 05:30:00,326.85896609310726
2021-06-01 05:30:00,321.4250442502368
2021-06-02 05:30:00,325.46087672619973
2021-06-03 05:30:00,323.5340845692735
2021-06-04 05:30:00,316.7955303542153
2021-06-05 05:30:00,310.211288531738
2021-06-06 05:30:00,313.7402925647617
2021-06-07 05:30:00,320.83970603752255
2021-06-08 05:30:00,313.0320195829799
2021-06-09 05:30:00,310.56390316665073
2021-06-10 05:30:00,308.65880744529807
2021-06-11 05:30:00,311.7728088074237
2021-06-12 05:30:00,316.3236303692253
2021-06-13 05:30:00,322.660852807348
2021-06-14 05:30:00,318.38492480550167
2021-06-15 05:30:00,324.3231459702042
2021-06-16 05:30:00,312.8263155097029
2021-06-17 05:30:00,304.92310778009875
2021-06-18 05:30:00,300.8127525098194
2021-06-19 05:30:00,296.004724086978
2021-06-20 05:30:00,295.0722367936299
2021-06-21 05:30:00,292.0336394460892
2021-06-22 05:30:00,294.7077026195053
2021-06-23 05:30:00,308.90540136486453
2021-06-24 05:30:00,289.5001971897103
2021-06-25 05:30:00,296.09148896019303
2021-06-26 05:30:00,278.0112132967537
2021-06-27 05:30:00,273.7190119828071
2021-06-28 05:30:00,289.96730036634386
2021-06-29 05:30:00,257.91297587368086
2021-06-30 05:30:00,268.66350221653124
2021-07-01 05:30:00,257.7858293054382
2021-07-02 05:30:00,256.39364935282015
2021-07-03 05:30:00,245.36773364555694
2021-07-04 05:30:00,245.42789460030542
2021-07-05 05:30:00,260.87045279202124
2021-07-06 05:30:00,241.8966489447628
2021-07-07 05:30:00,228.39231645804597
2021-07-08 05:30:00,234.82815163575657
2021-07-09 05:30:00,237.6600986044052
2021-07-10 05:30:00,222.61501075179694
2021-07-11 05:30:00,219.80525832741736
2021-07-12 05:30:00,209.95282412409753
2021-07-13 05:30:00,208.28153320362273
2021-07-14 05:30:00,224.0106278253033
2021-07-15 05:30:00,231.57345097217868
2021-07-16 05:30:00,234.43364543605293
2021-07-17 05:30:00,239.68649654518111
2021-07-18 05:30:00,247.43580998390175
2021-07-19 05:30:00,243.52794809756585
2021-07-20 05:30:00,242.43059624874124
2021-07-21 05:30:00,244.39239830435343
2021-07-22 05:30:00,247.57804607453016
2021-07-23 05:30:00,250.9492730186757
2021-07-24 05:30:00,237.9548395245029
